artista,genero,bpm,duracion_seg,clave_musical,modo,instrumental,con_voz,colaboracion,artista_colaborador,fecha_lanzamiento,año,mes,estacion,tipo_lanzamiento,popularidad,reproducciones_previas,hit_viral,dia_semana,trimestre
Rihanna,Rap,94,148,4,1,0,1,0,,2010-03-12,2010,3,Primavera,Single,1.0,27.08374053788661,0,4,1
Wisin & Yandel,Rock,158,352,0,1,1,0,1,Young Thug,2010-04-08,2010,4,Primavera,Album,1.0,12.438501688039494,0,3,2
Karol G,Indie,133,362,1,1,0,1,0,,2010-04-23,2010,4,Primavera,Single,1.0,20.438140211190458,0,4,2
Olivia Rodrigo,Experimental,78,401,7,0,0,1,0,,2010-05-07,2010,5,Primavera,Album,1.0,18.341434572837183,0,4,2
Rihanna,Funk,136,83,4,0,0,1,0,,2010-05-13,2010,5,Primavera,Album,1.0,4.408460546051486,0,3,2
Blackpink,Lofi,75,155,2,0,1,0,1,Nicki Minaj,2010-05-15,2010,5,Primavera,Single,1.0,18.0733931857003,0,5,2
Kendrick Lamar,Pop Latino,125,228,1,1,0,1,1,Camila Cabello,2010-05-23,2010,5,Primavera,Album,1.0,9.302393994496786,0,6,2
Juice WRLD,Trap,142,234,2,1,0,1,1,Nicky Jam,2010-05-27,2010,5,Primavera,Single,1.0,29.76308172007879,0,3,2
Doja Cat,Lofi,106,184,3,0,0,1,0,,2010-06-05,2010,6,Verano,Single,1.0,9.652624700922773,0,5,2
Lil Nas X,Metal,125,79,5,1,0,1,0,,2010-06-14,2010,6,Verano,Single,5.331452952258495,6.087187261130418,1,0,2
Doja Cat,Lofi,123,240,3,0,0,1,0,,2010-06-24,2010,6,Verano,Single,1.2219728433439134,1.0827696410341838,0,3,2
Imagine Dragons,Soul,101,233,11,0,0,1,0,,2010-06-26,2010,6,Verano,Single,1.0,28.986214219017942,0,5,2
Shawn Mendes,Trap,133,327,9,1,0,1,0,,2010-06-26,2010,6,Verano,Album,2.822212988179666,19.24952850251267,1,5,2
Camila Cabello,Pop,129,150,10,1,1,0,0,,2010-06-28,2010,6,Verano,Single,1.0,18.93070170658534,0,0,2
Zara Larsson,Techno,172,481,1,1,0,1,1,Dua Lipa,2010-06-30,2010,6,Verano,Single,1.0,9.715481730360075,0,2,2
Demi Lovato,Disco,130,334,4,1,1,0,1,BTS,2010-07-02,2010,7,Verano,Album,1.0,3.517106301882099,0,4,3
Feid,Drill,97,108,11,1,0,1,0,,2010-07-02,2010,7,Verano,Single,1.0,19.250393797395063,0,4,3
Miley Cyrus,Blues,121,303,10,1,0,1,0,,2010-07-06,2010,7,Verano,Single,1.0,11.38581600426716,1,1,3
Young Thug,Experimental,85,304,4,0,0,1,0,,2010-07-10,2010,7,Verano,Single,1.0,3.7484208145434117,0,5,3
Martin Garrix,Country,129,173,2,1,0,1,0,,2010-07-16,2010,7,Verano,Single,87.97006921397352,11.770578639291378,0,4,3
Imagine Dragons,Blues,94,229,9,0,0,1,1,Olivia Rodrigo,2010-07-20,2010,7,Verano,Album,1.1364848820979228,3.0626196786796855,0,1,3
Manuel Turizo,Disco,120,232,9,0,1,0,0,,2010-07-20,2010,7,Verano,Single,1.0,11.627044520870996,0,1,3
Camila Cabello,Disco,135,136,8,1,0,1,0,,2010-07-23,2010,7,Verano,Single,1.0,1.175876915586291,1,4,3
Karol G,Indie,102,388,4,0,0,1,0,,2010-07-26,2010,7,Verano,Single,1.0,1.0,0,0,3
Olivia Rodrigo,Experimental,121,163,7,0,1,0,0,,2010-07-27,2010,7,Verano,Single,1.0,1.0,0,1,3
