artista,genero,bpm,duracion_seg,clave_musical,modo,instrumental,con_voz,colaboracion,artista_colaborador,fecha_lanzamiento,año,mes,dia_semana,estacion,tipo_lanzamiento,calidad_intrinseca,popularidad,categoria_popularidad,exito,hit_viral
Shawn Mendes,R&B,86,216,11,0,0,1,0,,2010-02-23,2010,2,1,Invierno,Album,83,25.28,Baja,0,0
Harry Styles,Funk,86,203,8,1,0,1,0,,2010-02-27,2010,2,5,Invierno,Album,43,15.95,Baja,0,0
Sam Smith,Trap,94,221,3,1,0,1,0,,2010-03-06,2010,3,5,Primavera,Single,62,19.0,Baja,0,0
Shawn Mendes,R&B,92,164,10,1,0,1,0,,2010-03-09,2010,3,1,Primavera,Album,59,25.67,Baja,0,0
Ozuna,Pop Latino,102,230,8,0,0,1,0,,2010-03-31,2010,3,2,Primavera,Single,67,40.12,Media,0,0
Feid,Trap,104,208,4,0,0,1,0,,2010-04-14,2010,4,2,Primavera,Single,59,31.67,Media,0,0
Myke Towers,Flamenco,96,247,10,0,0,1,1,Taylor Swift,2010-04-22,2010,4,3,Primavera,Album,87,37.64,Media,0,0
Ozuna,Folk,81,201,5,1,0,1,0,,2010-04-26,2010,4,0,Primavera,Album,44,31.84,Media,0,0
Lil Uzi Vert,Indie,87,204,7,0,0,1,1,Demi Lovato,2010-05-01,2010,5,5,Primavera,Album,52,23.12,Baja,0,0
Nicki Minaj,Rap,131,193,10,1,0,1,0,,2010-05-29,2010,5,5,Primavera,Album,26,19.52,Baja,0,0
Harry Styles,Funk,127,223,3,0,0,1,0,,2010-06-11,2010,6,4,Verano,Album,51,37.79,Media,0,1
Paulo Londra,Techno,133,173,6,0,1,0,0,,2010-06-11,2010,6,4,Verano,Single,28,20.08,Baja,0,0
Megan Thee Stallion,Indie,156,168,5,1,0,1,0,,2010-06-17,2010,6,3,Verano,Album,35,33.32,Media,0,0
Sam Smith,Funk,93,218,4,0,0,1,0,,2010-06-26,2010,6,5,Verano,Album,47,19.37,Baja,0,0
Post Malone,Pop Latino,109,218,10,1,0,1,0,,2010-06-30,2010,6,2,Verano,Album,57,29.68,Baja,0,0
Jack Harlow,Techno,96,139,10,0,0,1,1,Paulo Londra,2010-07-03,2010,7,5,Verano,Album,70,63.46,Media,1,0
Katy Perry,Dance,114,170,6,1,0,1,1,Calvin Harris,2010-07-03,2010,7,5,Verano,Album,40,40.43,Media,0,0
DaBaby,Experimental,90,281,8,1,0,1,1,Lil Baby,2010-07-08,2010,7,3,Verano,Album,47,25.9,Baja,0,0
